product_id,product_name,sales,comment_id,comment_time,content,sku,sku_id,display_user_nick,reply,create_time,update_time
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178123654356,2022-06-11,质量很好，设计的很漂亮,,,卡**7,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178879886890,2022-06-09,此用户没有填写评价。,,,t**3,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1177095969022,2022-06-05,笔记本非常漂亮，喜欢里面的插画,,,雪**8,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1177120282834,2022-06-02,会回购的！,,,t**8,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1177454711623,2022-06-01,很好看可以当画本,,,l**1,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1176671430438,2022-05-28,挺好的，送孩子奖励。很喜欢。快递派送及时。,,,t**7,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1182365455398,2022-05-26,此用户没有填写评价。,,,t**9,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1175415297281,2022-05-20,颜值很高,,,h**4,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1176175883279,2022-05-20,好,,,2**x,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1175000369809,2022-05-17,不太值得买。,,,t**9,亲爱的顾客，您好！故宫小确幸笔记本是店铺一直热卖的笔记本之一，深受众多买家的喜爱呢~这款笔记本由手绘的故宫景色作为插画页，穿插在笔记本中，让您忙完一天的工作以后坐下来，一边记录身边小事，一边欣赏故宫美景，褪去一身疲惫，享受身心放松~希望您能喜欢哦！,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1175121674300,2022-05-14,包装不太精致,,,岁**8,亲爱的顾客您好！感谢您光临故宫博物院文创旗舰店，店铺笔记本类产品大多都是塑封包装的，我们的详情页一般也有具体展示产品对应的包装情况，下单之前您可以多浏览看下哈，也可以咨询客服来了解呢。再次感谢您的选购，祝您万事皆如意！,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1174793599958,2022-05-07,送给闺蜜的生日礼物，她很喜欢，质量不错,,,6**诶,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1173770229074,2022-05-04,不大，太贵,,,x**3,亲亲您好~故宫小确幸笔记本是轻巧便携笔记本，方便您随身携带时刻记录身边的美好~产品尺寸您可以下单之前详细参考详情页哦，或咨询客服，由客服同学给您推荐其他较大尺寸的笔记本呢，感谢您的选购，祝您生活愉快！,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1173661757245,2022-05-03,设计还可以，就是这么小这个价钱有点贵了,,,琥**光,,2023-11-03 14:59:16,2023-11-03 14:59:16
